69905406,Avenida Beira Rio,- lado ímpar,Cidade Nova,7735,1
69905408,Rua Palmeiral,- até 329/330,Cidade Nova,7735,1
69905410,Rua Bodocó,,Cidade Nova,7735,1
69905412,Rua Nova Andira,- até 349/350,Cidade Nova,7735,1
69905414,Rua Baixa Verde,- até 357/358,Cidade Nova,7735,1
69905416,Rua Salgueiro,,Cidade Nova,7735,1
69905418,Rua Poços de Caldas,- até 357/358,Cidade Nova,7735,1
69905420,Rua Lua Nova,,Cidade Nova,7735,1
69905422,Rua Triunfo,- até 349/350,Cidade Nova,7735,1
69905424,Rua Diamantina,- até 499/500,Cidade Nova,7735,1
69905426,Rua Guajará,,Cidade Nova,7735,1
69905428,Rua Barra do Sol,,Cidade Nova,7735,1
69905430,Beco Beira Rio,,Cidade Nova,7735,1
69905432,Travessa Beira Rio,,Cidade Nova,7735,1
69905434,Avenida Uirapuru,- de 501/502 ao fim,Cidade Nova,7735,1
69905436,Rua Beira Rio,,Cidade Nova,7735,1
69905438,Rua Triunfo,- de 351/352 ao fim,Cidade Nova,7735,1
69905440,Rua Poços de Caldas,- de 359/360 ao fim,Cidade Nova,7735,1
69905444,Rua Mangueira,,Cidade Nova,7735,1
69905446,Rua Sertaneja,,Cidade Nova,7735,1
69905448,Rua Baixa Verde,- de 359/360 ao fim,Cidade Nova,7735,1
69905450,Rua Revolta,,Cidade Nova,7735,1
69905452,Rua Nova Andira,- de 351/352 ao fim,Cidade Nova,7735,1
69905454,Rua Coelho Ramos,,Cidade Nova,7735,1
69905456,Rua do Atlético,,Cidade Nova,7735,1
69905458,Rua Palmeiral,- de 331/332 ao fim,Cidade Nova,7735,1
69905460,Praça Campo do Atlético,,Cidade Nova,7735,1
69905462,Avenida Uirapuru,- até 499/500,Cidade Nova,7735,1
69905464,Rua Pau Brasil,,Cidade Nova,7735,1
69905490,Rua Nossa Senhora da Conceição,- de 500/501 a 799/800,Quinze,7735,1
69905492,Rua Valderi Barbosa Mariel,,Quinze,7735,1
69905494,Travessa Tiradentes,,Quinze,7735,1
69905496,Rua Nossa Senhora da Conceição,- até 498/499,Quinze,7735,1
69905500,Rua Tiradentes,,Quinze,7735,1
69905502,Rua Caxias,,Quinze,7735,1
69905504,Rua Nossa Senhora das Graças,,Quinze,7735,1
69905506,Travessa Azis,,Quinze,7735,1
69905508,Rua Coronel Honório Alves,,Quinze,7735,1
69905510,Travessa Santinho,,Quinze,7735,1
69905512,Beco da Usina,,Quinze,7735,1
69905514,Travessa do Mercado,,Quinze,7735,1
69905516,Beco do Mercado,,Quinze,7735,1
69905518,Rua Boulevard Augusto Monteiro,- até 631/632,Quinze,7735,1
69905520,Beco da Rosa,,Quinze,7735,1
69905522,Travessa Tupi,,Quinze,7735,1
69905524,Rua 16 de Outubro,- até 515/516,Quinze,7735,1
69905526,Rua Júlio Camilo de Oliveira,,Quinze,7735,1
69905528,Travessa Cícero Guedes,,Quinze,7735,1
69905530,Beco Cabo Martins,,Quinze,7735,1
69905532,Rua Salim Farhat,,Quinze,7735,1
69905534,Travessa Salim Farhat,,Quinze,7735,1
69905536,Travessa Sarati,,Quinze,7735,1
69905538,Rua 16 de Outubro,- de 517/518 ao fim,Quinze,7735,1
69905540,Beco Nossa Senhora da Conceição,,Quinze,7735,1
69905542,Rua Nossa Senhora da Conceição,- de 801/802 ao fim,Quinze,7735,1
69905590,Rua Cunha Matos,,Seis de Agosto,7735,1
69905593,Rua 17 de Novembro,,Seis de Agosto,7735,1
69905596,Rua 24 de Janeiro,,Seis de Agosto,7735,1
69905599,Travessa 22 de Maio,,Seis de Agosto,7735,1
69905602,Travessa Natanael Albuquerque,,Seis de Agosto,7735,1
69905605,Rodovia AC-40,,Seis de Agosto,7735,1
69905608,Beco da Cigana,,Seis de Agosto,7735,1
69905611,Avenida Doutor Pereira Passos,,Seis de Agosto,7735,1
69905614,Travessa Outono,,Seis de Agosto,7735,1
69905617,Travessa Cearense,,Seis de Agosto,7735,1
69905620,Travessa Feijó,,Seis de Agosto,7735,1
69905623,Rua Pio Nazário,,Seis de Agosto,7735,1
69905626,Rua 1º de Maio,- até 936/937,Seis de Agosto,7735,1
69905629,Rua 6 de Agosto,- até 417/418,Seis de Agosto,7735,1
69905632,Travessa Praxedes,,Seis de Agosto,7735,1
69905660,Travessa Cabanelas,,Seis de Agosto,7735,1
69905662,Travessa Pau Amarelo,,Seis de Agosto,7735,1
69905664,Travessa Curupixá,,Seis de Agosto,7735,1
69905666,Rua Santa Terezinha,,Seis de Agosto,7735,1
69905668,Travessa Santa Terezinha,,Seis de Agosto,7735,1
69905670,Rua Cearense,- de 598/599 ao fim,Seis de Agosto,7735,1
69905672,Beco São Domingos,,Seis de Agosto,7735,1
69905674,Travessa Edson Mendes,,Seis de Agosto,7735,1
69905676,Travessa Virgílio de Lima,,Seis de Agosto,7735,1
69905678,Rua 31 de Março,,Seis de Agosto,7735,1
69905680,Rua Hidaldo de Lima,,Seis de Agosto,7735,1
69905682,Rua 1º de Maio,- de 938/939 ao fim,Seis de Agosto,7735,1
