cep,estado,cidade,ddd,logradouro
13409088,SP,Piracicaba,19,Rua Antonio Martins Belmudes de Toledo
19035270,SP,Presidente Prudente,18,Rua Domingos João
19350000,SP,Emilianópolis,,NE
2812030.0,NE,NE,NE,NE
2812030.0,NE,NE,NE,NE
2812030.0,NE,NE,NE,NE
54315240,PE,Jaboatão dos Guararapes,81,Rua do Progresso
25015331,RJ,Duque de Caxias,21,Avenida Manuel Duarte
21050100,RJ,Rio de Janeiro,21,Praça Américo Júnior
25015331,RJ,Duque de Caxias,21,Avenida Manuel Duarte
25015331,RJ,Duque de Caxias,21,Avenida Manuel Duarte
62880000.0,NE,NE,NE,NE
78855000,MT,Planalto da Serra,,NE
93890000,RS,Nova Hartz,51,NE
74565080,GO,Goiânia,62,Rua Fortaleza
50800060,PE,Recife,81,Rua Filadélfia
72865023,GO,Novo Gama,61,Quadra Quadra 23
57307390,AL,Arapiraca,82,Avenida Elísio Nunes Silva
57307390,AL,Arapiraca,82,Avenida Elísio Nunes Silva
57040350,AL,Maceió,82,Rua Padre Cícero
72865023,GO,Novo Gama,61,Quadra Quadra 23
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
53407070,PE,Paulista,81,Rua Noventa e Seis
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
9688100.0,NE,NE,NE,NE
95590000,RS,Tramandaí,51,NE
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
53417330,PE,Paulista,81,Rua Lagoa dos Gatos
23078001,RJ,Rio de Janeiro,21,Avenida Brasil
35960000,MG,Santa Bárbara,31,NE
23078001,RJ,Rio de Janeiro,21,Avenida Brasil
23078001,RJ,Rio de Janeiro,21,Avenida Brasil
35960000,MG,Santa Bárbara,31,NE
89037760,SC,Blumenau,47,Rua Nicolau Reiter
21765130,RJ,Rio de Janeiro,21,Rua Antônio Teixeira
66087760,PA,Belém,91,Passagem Alegre
14177260,SP,Sertãozinho,16,Rua Adolpho Kroll
14177260,SP,Sertãozinho,16,Rua Adolpho Kroll
19804828,SP,Assis,18,Avenida da Integração
19804828,SP,Assis,18,Avenida da Integração
19804828,SP,Assis,18,Avenida da Integração
91751270,RS,Porto Alegre,51,Rua Deputado Cunha Bueno
18103060,SP,Sorocaba,15,Rua José Luiz Flaquer
37565500,MG,Borda da Mata,35,NE
29931540,ES,São Mateus,27,Rua Antônio de Carvalho
78060460,MT,Cuiabá,65,Rua Maringá
78060460,MT,Cuiabá,65,Rua Maringá
37565500,MG,Borda da Mata,35,NE
78060460,MT,Cuiabá,65,Rua Maringá
95890000,RS,Teutônia,51,NE
32240227,MG,Contagem,31,Rua Sete
6263265.0,NE,NE,NE,NE
6263265.0,NE,NE,NE,NE
6273265.0,NE,NE,NE,NE
24020055,RJ,Niterói,21,Rua São Pedro
24020055,RJ,Niterói,21,Rua São Pedro
49290000,SE,Itabaianinha,79,NE
45657000,BA,Ilhéus,73,Rodovia Jorge Amado
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
91260420,RS,Porto Alegre,51,Rua Coronel-Polícia Militar Hermano Wolf
68790000,PA,Santa Isabel do Pará,91,NE
68790000,PA,Santa Isabel do Pará,91,NE
77001036,TO,Palmas,63,Quadra 103 Norte Rua NO 11
77001036,TO,Palmas,63,Quadra 103 Norte Rua NO 11
36830000,MG,Espera Feliz,32,NE
29178021,ES,Serra,27,Travessa Celósia
29174021.0,NE,NE,NE,NE
13482662,SP,Limeira,19,Rua Antônio Rodrigues Matheus
2812030.0,NE,NE,NE,NE
58434323,PB,Campina Grande,83,Rua Luzinalda Edite de Araújo Leite
2812030.0,NE,NE,NE,NE
2812030.0,NE,NE,NE,NE
25635111,RJ,Petrópolis,24,Rua Lopes Trovão
87600000,PR,Nova Esperança,,NE
78775000,MT,Tesouro,,NE
29129663,ES,Vila Velha,27,Rua Doutor Paulo Sérgio Reis
18071297,SP,Sorocaba,15,Rua Miguel Stefan
18071297,SP,Sorocaba,15,Rua Miguel Stefan
18071297,SP,Sorocaba,15,Rua Miguel Stefan
79550000,MS,Costa Rica,,NE
78030395,MT,Cuiabá,65,Rua Luís de Matos
99700054,RS,Erechim,54,Rua Alemanha
99700054,RS,Erechim,54,Rua Alemanha
92035014,RS,Canoas,51,Rua Quatro
50020520,PE,Recife,81,Travessa do Gusmão
99700054,RS,Erechim,54,Rua Alemanha
92035014,RS,Canoas,51,Rua Quatro
3659050.0,NE,NE,NE,NE
3659050.0,NE,NE,NE,NE
96413010,RS,Bagé,53,Rua Odilon Álvares
25036480,RJ,Duque de Caxias,21,Rua Coelho Rodrigues
89809770,SC,Chapecó,49,Rua Piava
68689090.0,NE,NE,NE,NE
14580000,SP,Guará,16,NE
96750000,RS,Butiá,51,NE
96750000,RS,Butiá,51,NE
69028068.0,NE,NE,NE,NE
77020090,TO,Palmas,63,Quadra ARSE 12 Alameda 28
69028068.0,NE,NE,NE,NE
77020090,TO,Palmas,63,Quadra ARSE 12 Alameda 28
13635038,SP,Pirassununga,19,Rua Lydia de Arruda Reis
8111170.0,NE,NE,NE,NE
19067200,SP,Presidente Prudente,18,Alameda Zeferino Ocolatte
46360000,BA,Pindaí,,NE
28035217,RJ,Campos dos Goytacazes,22,Rua Conselheiro Thomas Coelho
79680000,MS,Água Clara,,NE
79680000,MS,Água Clara,,NE
79680000,MS,Água Clara,,NE
66640010,PA,Belém,91,Rua Primeiro de Junho
66640100,PA,Belém,91,Passagem Santa Helena
66640010,PA,Belém,91,Rua Primeiro de Junho
5571150.0,NE,NE,NE,NE
5571140.0,NE,NE,NE,NE
25655112.0,NE,NE,NE,NE
25655111,RJ,Petrópolis,24,Rua Visconde de Uruguai
21940110,RJ,Rio de Janeiro,21,Rua Manuel Rodrigues
22790669,RJ,Rio de Janeiro,21,Avenida Tim Maia
69088474,AM,Manaus,92,Rua Cássia Baiana
41500669.0,NE,NE,NE,NE
41500660,BA,Salvador,71,Avenida Aliomar Baleeiro
41500660,BA,Salvador,71,Avenida Aliomar Baleeiro
35522142,MG,Nova Serrana,37,Avenida José Roberto de Oliveira
18310000,SP,Guapiara,,NE
35522142,MG,Nova Serrana,37,Avenida José Roberto de Oliveira
12150000,SP,São Luiz do Paraitinga,,NE
35522142,MG,Nova Serrana,37,Avenida José Roberto de Oliveira
27985000,RJ,Macaé,22,NE
28085629,RJ,Campos dos Goytacazes,22,Rua Barata Ribeiro
28085629,RJ,Campos dos Goytacazes,22,Rua Barata Ribeiro
28085629,RJ,Campos dos Goytacazes,22,Rua Barata Ribeiro
28085629,RJ,Campos dos Goytacazes,22,Rua Barata Ribeiro
44720000,BA,Miguel Calmon,74,NE
45075325,BA,Vitória da Conquista,77,Avenida Maranhão
45975325.0,NE,NE,NE,NE
45075345,BA,Vitória da Conquista,77,Rua Guaruja
35100200,MG,Governador Valadares,33,NE
91320110,RS,Porto Alegre,51,Rua Marajó
18764266,SP,Cerqueira César,14,Rua das Jussaras
18764266,SP,Cerqueira César,14,Rua das Jussaras
44436868,BA,Santo Antônio de Jesus,75,Rua Barro Vermelho
65058223,MA,São Luís,98,Rua 23
37417518,MG,Três Corações,35,Rua Bartolomeu Bueno
52120440,PE,Recife,81,Rua da Sagrada Familia
52120440,PE,Recife,81,Rua da Sagrada Familia
52120440,PE,Recife,81,Rua da Sagrada Familia
99800000,RS,Marcelino Ramos,,NE
30310430,MG,Belo Horizonte,31,Rua Cassiporé
44053630,BA,Feira de Santana,75,Caminho Irará
40210630,BA,Salvador,71,Rua Professor Aristides Novis
57010290,AL,Maceió,82,Rua Lourival Vieira Costa
65940000,MA,Grajaú,99,NE
25225660,RJ,Duque de Caxias,21,Avenida São Paulo
2225660.0,NE,NE,NE,NE
68655000,PA,Irituia,91,NE
25225660,RJ,Duque de Caxias,21,Avenida São Paulo
68655000,PA,Irituia,91,NE
13440104,SP,Saltinho,19,Rua Celia Rodrigues Cardinali
41502505,BA,Salvador,71,Rua Antônio da Conceição
13440104,SP,Saltinho,19,Rua Celia Rodrigues Cardinali
79018090,MS,Campo Grande,67,Rua Mapuera
50730665,PE,Recife,81,Avenida Múcio Uchôa Cavalcanti
50730665,PE,Recife,81,Avenida Múcio Uchôa Cavalcanti
36030020,MG,Juiz de Fora,32,Rua Três Ilhas
7820000.0,NE,NE,NE,NE
6020190.0,NE,NE,NE,NE
79065505,MS,Campo Grande,67,Rua Maria Candida de Rezende
66613150,PA,Belém,91,Avenida Pedro Álvares Cabral
96020150,RS,Pelotas,53,Rua Barão de Azevedo Machado
5791130.0,NE,NE,NE,NE
33826094,MG,Ribeirão das Neves,31,Rua Monteiro Lobato
95050720,RS,Caxias do Sul,54,Rua Isolina Bertuol Aguzzoli
17057010,SP,Bauru,14,Rua Antônio Euclides Ribeiro
17057010,SP,Bauru,14,Rua Antônio Euclides Ribeiro
17057010,SP,Bauru,14,Rua Antônio Euclides Ribeiro
64010200,PI,Teresina,86,Quadra Mocambinho - Setor B
59633100,RN,Mossoró,84,Avenida Walter Wanderley
3105100.0,NE,NE,NE,NE
38612146,MG,Unaí,38,Rua das Amoras
78035140,MT,Cuiabá,65,Rua Santa Isabel
86300000,PR,Cornélio Procópio,43,NE
86300000,PR,Cornélio Procópio,43,NE
65908338,MA,Imperatriz,99,Rua Bahia
65908338,MA,Imperatriz,99,Rua Bahia
27336260,RJ,Barra Mansa,24,Rua Jarbas Cansado
75025030,GO,Anápolis,62,Rua Conde Afonso Celso
13482815,SP,Limeira,19,Rua Divanir Gazetta
69038050,AM,Manaus,92,Rua Cloritta
89540000,SC,Santa Cecília,,NE
58040000,PB,João Pessoa,83,Avenida Presidente Epitácio Pessoa
99840000,RS,Sananduva,54,NE
57071130,AL,Maceió,82,Avenida Muniz Falcão
9842047.0,NE,NE,NE,NE
21645420,RJ,Rio de Janeiro,21,Rua Motorista Luiz Abreu
79380000,MS,Miranda,,NE
90050103,RS,Porto Alegre,51,Rua General Lima e Silva
29911015,ES,Linhares,27,Avenida João Soprani
92325380,RS,Canoas,51,Rua Sinos da União
9950300.0,NE,NE,NE,NE
31742168,MG,Belo Horizonte,31,Rua Orion Rigel Vigne
95625000,RS,Imbé,51,NE
31841740.0,NE,NE,NE,NE
95625000,RS,Imbé,51,NE
6152250.0,NE,NE,NE,NE
79065370,MS,Campo Grande,67,Rua Ribeira
56700000,PE,São José do Egito,87,NE
74320380,GO,Goiânia,62,Rua Pedro Ludovico
62400000,CE,Camocim,88,NE
4168020.0,NE,NE,NE,NE
36880000.0,NE,NE,NE,NE
36880000.0,NE,NE,NE,NE
72862506,GO,Novo Gama,61,Quadra Quadra 6
54340545,PE,Jaboatão dos Guararapes,81,Rua da Sotave
37220000,MG,Bom Sucesso,35,NE
74370520,GO,Goiânia,62,Avenida Interligação
1868031.0,NE,NE,NE,NE
83209647,PR,Paranaguá,41,Rua Maranhão
21211007,RJ,Rio de Janeiro,21,Avenida Meriti
75090320,GO,Anápolis,62,Rua JP 17
75090320,GO,Anápolis,62,Rua JP 17
7979.0,NE,NE,NE,NE
7979.0,NE,NE,NE,NE
7979.0,NE,NE,NE,NE
7979.0,NE,NE,NE,NE
84240000,PR,Piraí do Sul,42,NE
58109303,PB,Cabedelo,,Rodovia BR-230
6764040.0,NE,NE,NE,NE
6764040.0,NE,NE,NE,NE
26195450,RJ,Belford Roxo,21,Rua Joaquina Pinto
53270060,PE,Olinda,81,Rua Maria dos Prazeres
86020041,PR,Londrina,43,Rua Santos
76983016,RO,Vilhena,69,Rua Cento e Dois-Vinte e Dois
70800220,DF,Brasília,61,Setor SHTN Trecho 2
9843530.0,NE,NE,NE,NE
9843530.0,NE,NE,NE,NE
9843530.0,NE,NE,NE,NE
24717251,RJ,São Gonçalo,21,Rua Américo Miranda
36088490,MG,Juiz de Fora,32,Rua Custódio de Rezende Bastos
9890540.0,NE,NE,NE,NE
69314166,RR,Boa Vista,95,Rua Peixe Boto
26291227,RJ,Nova Iguaçu,21,Rua Rio Del Prata
29901150,ES,Linhares,27,Avenida São Paulo
88132860,SC,Palhoça,48,Rua Gleci Dias Carneiro
62260000,CE,Reriutaba,,NE
26110145,RJ,Belford Roxo,21,Rua Campina Grande
78455000,MT,Lucas do Rio Verde,,NE
55004120,PE,Caruaru,81,Rua Luís Paes
25900094,RJ,Magé,21,Rua Doutor Siqueira
55004120,PE,Caruaru,81,Rua Luís Paes
97502496,RS,Uruguaiana,55,Rua Doutor Maia
55004120,PE,Caruaru,81,Rua Luís Paes
59062195,RN,Natal,84,Avenida Amintas Barros
51160220,PE,Recife,81,Rua Presidente Nilo Peçanha
62570000,CE,Bela Cruz,88,NE
4187090.0,NE,NE,NE,NE
58411255,PB,Campina Grande,83,Rua Tânia Margarida Aires Maciel
88132860,SC,Palhoça,48,Rua Gleci Dias Carneiro
88132860,SC,Palhoça,48,Rua Gleci Dias Carneiro
56323280,PE,Petrolina,87,Avenida dos Sentimentos
59290000.0,NE,NE,NE,NE
59290000.0,NE,NE,NE,NE
6381300.0,NE,NE,NE,NE
51160220,PE,Recife,81,Rua Presidente Nilo Peçanha
76803659,RO,Porto Velho,69,Avenida dos Imigrantes
76803659,RO,Porto Velho,69,Avenida dos Imigrantes
45020605,BA,Vitória da Conquista,77,Rua José Oliveira Lopes
76803659,RO,Porto Velho,69,Avenida dos Imigrantes
39568000,MG,Novorizonte,,NE
13807063,SP,Mogi Mirim,,Rua Vinte e Cinco de Janeiro
72810280,GO,Luziânia,61,Rua do Trabalhador
30720410,MG,Belo Horizonte,31,Rua Humaitá
31530200,MG,Belo Horizonte,31,Rua dos Xavantes
79009500,MS,Campo Grande,67,Rua Dom Pedro I
31530200,MG,Belo Horizonte,31,Rua dos Xavantes
29156115,ES,Cariacica,27,Rua Santa Helena
29156115,ES,Cariacica,27,Rua Santa Helena
25815060,RJ,Três Rios,24,Servidão Urberlando Gomes da Silva
29156115,ES,Cariacica,27,Rua Santa Helena
79570000,MS,Aparecida do Taboado,67,NE
45810000,BA,Porto Seguro,73,NE
65680000,MA,Passagem Franca,,NE
12227460,SP,São José dos Campos,12,Rua Jupiter
87309290,PR,Campo Mourão,44,Avenida Paraná
12227460,SP,São José dos Campos,12,Rua Jupiter
24745020,RJ,São Gonçalo,21,Rua Laércio Xavier de Mendonça
24436730,RJ,São Gonçalo,21,Rua Ana Marques
68506110,PA,Marabá,94,Quadra Onze
24436730,RJ,São Gonçalo,21,Rua Ana Marques
12309010,SP,Jacareí,12,Rua Santa Terezinha
58701542,PB,Patos,83,Rua Eduardo Benício Araújo
67145143,PA,Ananindeua,91,Quadra Cento e Oitenta
25560100,RJ,São João de Meriti,21,Rua Tupis
13471170,SP,Americana,19,Rua Salvador Giordano
25560100,RJ,São João de Meriti,21,Rua Tupis
65070290,MA,São Luís,98,Rua Luís Rocha
16900030,SP,Andradina,18,Rua Nove de Julho
65066659,MA,São Luís,98,Avenida Bahia
5361070.0,NE,NE,NE,NE
79290000,MS,Bonito,67,NE
89021001,SC,Blumenau,47,Rua Amazonas
45026365,BA,Vitória da Conquista,77,Rua A
29220415,ES,Guarapari,27,Rua Antônio Experidião Santana
20751200,RJ,Rio de Janeiro,21,Rua Figueiredo Pimentel
29220415,ES,Guarapari,27,Rua Antônio Experidião Santana
68920000,AP,Laranjal do Jari,96,NE
52030060,PE,Recife,81,Rua Castro Alves
14835000,SP,Motuca,16,NE
52030060,PE,Recife,81,Rua Castro Alves
14835000,SP,Motuca,16,NE
13295000,SP,Itupeva,11,NE
94090330,RS,Gravataí,51,Rua Botafogo
60765040,CE,Fortaleza,85,Rua Jequitibá
60765040,CE,Fortaleza,85,Rua Jequitibá
60765040,CE,Fortaleza,85,Rua Jequitibá
13026280,SP,Campinas,19,Rua Teodoro Baima
21545110,RJ,Rio de Janeiro,21,Rua Faia
11055340,SP,Santos,13,Rua Tocantins
94470200,RS,Viamão,51,Rua Tiradentes
67120370,PA,Ananindeua,91,Avenida Governador Hélio da Mota Gueiros
41500040,BA,Salvador,71,Rua Jardim Alvorada
67120370,PA,Ananindeua,91,Avenida Governador Hélio da Mota Gueiros
41500040,BA,Salvador,71,Rua Jardim Alvorada
74474103,GO,Goiânia,62,Rua JH6
59600000.0,NE,NE,NE,NE
59600000.0,NE,NE,NE,NE
59600000.0,NE,NE,NE,NE
6463260.0,NE,NE,NE,NE
6463260.0,NE,NE,NE,NE
6463260.0,NE,NE,NE,NE
90245050,RS,Porto Alegre,51,Avenida Amynthas Jacques de Moraes
58036610,PB,João Pessoa,83,Rua Rita Sabino de Andrade
76100000,GO,São Luís de Montes Belos,,NE
18150000,SP,Ibiúna,15,NE
13232010,SP,Campo Limpo Paulista,11,Avenida Brasil
673240.0,NE,NE,NE,NE
2325040.0,NE,NE,NE,NE
93265000,RS,Esteio,51,Rua Rio Grande
12515160,SP,Guaratinguetá,12,Rua Alfonso Giannico
88306000,SC,Itajaí,47,Avenida Osvaldo Reis
93265000,RS,Esteio,51,Rua Rio Grande
41181900,BA,Salvador,71,Avenida Edgard Santos 300
89500130,SC,Caçador,49,Rua Conselheiro Mafra
8760490.0,NE,NE,NE,NE
89500130,SC,Caçador,49,Rua Conselheiro Mafra
89500139,SC,Caçador,49,Rua Victor Baptista Adami
24346040,RJ,Niterói,21,Avenida Irene Lopes Sodré
27972250,RJ,Macaé,22,Avenida Lacerda Agostinho
92200190,RS,Canoas,51,Rua Mauá
92200190,RS,Canoas,51,Rua Mauá
14050050,SP,Ribeirão Preto,16,Rua Martinico Prado
11360000,SP,São Vicente,13,Rua Guarany
60760000,CE,Fortaleza,85,Avenida Bernardo Manuel
21842550,RJ,Rio de Janeiro,21,Estrada do Taquaral
94500000,RS,Viamão,51,Rua Graciliano Ramos
37716300,MG,Poços de Caldas,35,Avenida Geni Carvalho do Prado Brandão
40820030,BA,Salvador,71,Rua da Independência
41502305,BA,Salvador,71,Rua Quaresmeiras Vermelhas
37716300,MG,Poços de Caldas,35,Avenida Geni Carvalho do Prado Brandão
94500000,RS,Viamão,51,Rua Graciliano Ramos
55745000,PE,Orobó,81,NE
21842550,RJ,Rio de Janeiro,21,Estrada do Taquaral
89259200,SC,Jaraguá do Sul,47,Rua Ângelo Torinelli
78600000.0,NE,NE,NE,NE
24710395,RJ,São Gonçalo,21,Rua Doutor Alfredo Backer
24710395,RJ,São Gonçalo,21,Rua Doutor Alfredo Backer
14804340,SP,Araraquara,16,Avenida Victor Luís de Oliveira Penteado
94435220,RS,Viamão,51,Rua Vital Brasil
23810315,RJ,Itaguaí,21,Rua Maria da Penha Silva de Andrade
20530002,RJ,Rio de Janeiro,21,Rua Conde de Bonfim
45028903,BA,Vitória da Conquista,77,Avenida Brasil 1000
29144273,ES,Cariacica,27,Rua Império da Vila
29144730,ES,Cariacica,27,Avenida Beira Rio
79080770,MS,Campo Grande,67,Rua Francisco Alves Castelo
79080770,MS,Campo Grande,67,Rua Francisco Alves Castelo
29901610,ES,Linhares,27,Avenida Cachoeiro de Itapemirim
59055220.0,NE,NE,NE,NE
97538000,RS,Barra do Quaraí,55,NE
68900015,AP,Macapá,96,Avenida Antônio Coelho de Carvalho
68900115,AP,Macapá,96,Avenida Henrique Galúcio
13700000,SP,Casa Branca,19,NE
13700000,SP,Casa Branca,19,NE
65910085,MA,Imperatriz,99,Rua Brigadeiro Aroldo Veloso
37160000,MG,Campos Gerais,35,NE
5712030.0,NE,NE,NE,NE
5712030.0,NE,NE,NE,NE
24715392,RJ,São Gonçalo,21,Rua Duarte Coelho
3280060.0,NE,NE,NE,NE
12221750,SP,São José dos Campos,12,Rua Mário Campos
27580000,RJ,Itatiaia,24,NE
45360000,BA,Maracás,,NE
45360000,BA,Maracás,,NE
45360000,BA,Maracás,,NE
45360000,BA,Maracás,,NE
45360000,BA,Maracás,,NE
45360000,BA,Maracás,,NE
31260190,MG,Belo Horizonte,31,Rua Etelvina Vaz de Melo
31260190,MG,Belo Horizonte,31,Rua Etelvina Vaz de Melo
92330350,RS,Canoas,51,Rua Piratini
38067330,MG,Uberaba,34,Rua República São Salvador
69070210,AM,Manaus,92,Rua Inácio Guimarães
6462040.0,NE,NE,NE,NE
69070210,AM,Manaus,92,Rua Inácio Guimarães
2542000.0,NE,NE,NE,NE
6462040.0,NE,NE,NE,NE
2542000.0,NE,NE,NE,NE
7230010.0,NE,NE,NE,NE
7230010.0,NE,NE,NE,NE
7230010.0,NE,NE,NE,NE
26140500,RJ,Belford Roxo,21,Rua Maria Paula
45055400,BA,Vitória da Conquista,77,Rua L
11085405,SP,Santos,13,Travessa São Jorge
11085405,SP,Santos,13,Travessa São Jorge
85950000,PR,Palotina,,NE
66635020,PA,Belém,91,Passagem Boaventura
66635020,PA,Belém,91,Passagem Boaventura
42810051,BA,Camaçari,71,Travessa Lauro de Freitas
30421026,MG,Belo Horizonte,31,Avenida Amazonas
13275070,SP,Valinhos,19,Rua Joaquim de Castro
13275070,SP,Valinhos,19,Rua Joaquim de Castro
13275070,SP,Valinhos,19,Rua Joaquim de Castro
13275070,SP,Valinhos,19,Rua Joaquim de Castro
75240000,GO,Bela Vista de Goiás,,NE
35051180,MG,Governador Valadares,33,Avenida Engenheiro Humberto Tavares das Chagas
26183586,RJ,Belford Roxo,21,Rua Neves Garcia
29706410,ES,Colatina,27,Rua Castelo Branco
76555000,GO,Bonópolis,,NE
76490000,GO,Mara Rosa,,NE
59173000,RN,Goianinha,84,NE
91550290,RS,Porto Alegre,51,Rua Leopoldo Rassier
25900675,RJ,Magé,21,Rua Marieta Turbae
25900675,RJ,Magé,21,Rua Marieta Turbae
25900675,RJ,Magé,21,Rua Marieta Turbae
25900675,RJ,Magé,21,Rua Marieta Turbae
78005740,MT,Cuiabá,65,Travessa Joaquim da Costa Siqueira
78005740,MT,Cuiabá,65,Travessa Joaquim da Costa Siqueira
21360460,RJ,Rio de Janeiro,21,Rua Ramiro Monteiro
60863445,CE,Fortaleza,85,Rua 3
64140000,PI,Nossa Senhora dos Remédios,,NE
60863445,CE,Fortaleza,85,Rua 3
71927540,DF,Brasília,61,Avenida Jacarandá
66820145,PA,Belém,91,Passagem Jardim Novo
50710150,PE,Recife,81,Rua Benjamin Constant
65631373,MA,Timon,99,Rua Sete
26170390,RJ,Belford Roxo,21,Rua Paraná
71927540,DF,Brasília,61,Avenida Jacarandá
26170390,RJ,Belford Roxo,21,Rua Paraná
66820145,PA,Belém,91,Passagem Jardim Novo
98700000,RS,Ijuí,55,NE
98700000,RS,Ijuí,55,NE
12236865,SP,São José dos Campos,12,Rua Pastor Miguel Cornélio de Morais
64056190,PI,Teresina,86,Rua Cônego Raimundo Fonseca
71880112,DF,Brasília,61,Quadra QN 8A Conjunto 2
71880112,DF,Brasília,61,Quadra QN 8A Conjunto 2
71880112,DF,Brasília,61,Quadra QN 8A Conjunto 2
44330000,BA,São Gonçalo dos Campos,75,NE
44330000,BA,São Gonçalo dos Campos,75,NE
13960000,SP,Socorro,19,NE
74935622,GO,Aparecida de Goiânia,62,Rua Dona Josefina Ludovico de Almeida
74935622,GO,Aparecida de Goiânia,62,Rua Dona Josefina Ludovico de Almeida
65067317,MA,São Luís,98,Rua Projetada
67100610,PA,Ananindeua,91,Rua Segunda
26510430,RJ,Nilópolis,21,Rua Augusto Berberick
78076035,MT,Cuiabá,65,Rua Guariroba
65145000,MA,Santa Rita,98,NE
26021540,RJ,Nova Iguaçu,21,Rua Pires do Rio
82760100.0,NE,NE,NE,NE
88701302,SC,Tubarão,48,Rua Altamiro Guimarães
82760100.0,NE,NE,NE,NE
89520000,SC,Curitibanos,,NE
89520000,SC,Curitibanos,,NE
8577640.0,NE,NE,NE,NE
5361070.0,NE,NE,NE,NE
53130240,PE,Olinda,81,Rua Professor Francisco Xavier Paes Barreto
47800184,BA,Barreiras,77,Rua José Rocha
86410000,PR,Ribeirão Claro,,NE
86410000,PR,Ribeirão Claro,,NE
47800184,BA,Barreiras,77,Rua José Rocha
89233235,SC,Joinville,47,Rua Cidade de Vassouras
47800184,BA,Barreiras,77,Rua José Rocha
32667516,MG,Betim,31,Rua Santa Catarina
91720120,RS,Porto Alegre,51,Estrada dos Alpes
47800184,BA,Barreiras,77,Rua José Rocha
75230000,GO,Cristianópolis,,NE
22750013,RJ,Rio de Janeiro,21,Estrada do Bananal
11.0,NE,NE,NE,NE
22750013,RJ,Rio de Janeiro,21,Estrada do Bananal
30640330,MG,Belo Horizonte,31,Rua Altivo Márcio Ribeiro
29704150,ES,Colatina,27,Rua Padre Manoel da Nóbrega
92200255,RS,Canoas,51,Rua Vereador Alcides Nascimento
35164359,MG,Ipatinga,31,Rua Serra Esperança
77006426,TO,Palmas,63,Quadra ARNE 51 Alameda 2
4166003.0,NE,NE,NE,NE
92200255,RS,Canoas,51,Rua Vereador Alcides Nascimento
4166003.0,NE,NE,NE,NE
77006426,TO,Palmas,63,Quadra ARNE 51 Alameda 2
77006426,TO,Palmas,63,Quadra ARNE 51 Alameda 2
65066903,MA,São Luís,98,Rua Projetada S N
72225257,DF,Brasília,61,Quadra QNN 25 Conjunto G
9912260.0,NE,NE,NE,NE
52081325,PE,Recife,81,Rua Bemposta
9920610.0,NE,NE,NE,NE
38408652,MG,Uberlândia,34,Rua Carvalho de Mendonça
60540182,CE,Fortaleza,85,Rua Martins Carvalho
28950000,RJ,Armação dos Búzios,22,NE
74355528,GO,Goiânia,62,Rua W 13
74355528,GO,Goiânia,62,Rua W 13
21370450,RJ,Rio de Janeiro,21,Rua J. J. Cowsert
22723426,RJ,Rio de Janeiro,21,Estrada Meringuava
22723426,RJ,Rio de Janeiro,21,Estrada Meringuava
63380000,CE,Barro,88,NE
76804268,RO,Porto Velho,69,Rua Vinte e Quatro de Janeiro
54510150,PE,Cabo de Santo Agostinho,81,Rua Onildo Marinho Spindola
32670768,MG,Betim,31,Rua Pedrogão Pequeno
38041040,MG,Uberaba,34,Avenida Josias Ferreira Sobrinho
37206748,MG,Lavras,35,Avenida José Possato
13322224,SP,Salto,11,Rua Eviner Gonzaga
13322224,SP,Salto,11,Rua Eviner Gonzaga
42804583,BA,Camaçari,71,Rua Campo Formoso
5882452.0,NE,NE,NE,NE
42804583,BA,Camaçari,71,Rua Campo Formoso
580744.0,NE,NE,NE,NE
38320000,MG,Santa Vitória,34,NE
64630000,PI,Bocaina,,NE
580744.0,NE,NE,NE,NE
29167080,ES,Serra,27,Avenida Eldes Scherrer Souza
74465390,GO,Goiânia,62,Rua São Geraldo
74465390,GO,Goiânia,62,Rua São Geraldo
69047660,AM,Manaus,92,Rua Professora Ernestina Corrêa
26277715,RJ,Nova Iguaçu,21,Rua Pessegueiros
65970000,MA,Porto Franco,99,NE
26280020,RJ,Nova Iguaçu,21,Rua Adriano
93205614.0,NE,NE,NE,NE
93295614,RS,Esteio,51,Rua Gaivota
30310110,MG,Belo Horizonte,31,Rua Ouro Fino
37990000,MG,Ibiraci,35,NE
26553260,RJ,Mesquita,21,Rua Mercúrio
81050370,PR,Curitiba,41,Rua Professora Dona Lulu
13220170,SP,Várzea Paulista,11,Avenida Central
78555367,MT,Sinop,66,Rua Veneza
38407003,MG,Uberlândia,34,Rua do Hino
38407003,MG,Uberlândia,34,Rua do Hino
54330675,PE,Jaboatão dos Guararapes,81,Rua Santa Fé
39680000,MG,Capelinha,33,NE
74885360,GO,Goiânia,62,Rua Peroba
13481342,SP,Limeira,19,Rua Dona Albina Calisse Roque
60843100,CE,Fortaleza,85,Estrada Guajiru
53630140,PE,Igarassu,81,Rua Píero Pasolini
78718078,MT,Rondonópolis,66,Rua Otávio Pinheiro Rodrigues
