cep,estado,cidade,ddd,logradouro
13387776,SP,Nova Odessa,19,Alameda do Saber
13387776,SP,Nova Odessa,19,Alameda do Saber
13387776,SP,Nova Odessa,19,Alameda do Saber
13482040,SP,Limeira,19,Rua Onésimo Simões Silva
55660000,PE,Bezerros,81,NE
36052560,MG,Juiz de Fora,32,Rua Maria Perpétua
25223780,RJ,Duque de Caxias,21,Rua Cubatão
79810030,MS,Dourados,67,Rua Bela Vista
64800086,PI,Floriano,89,Rua João Dantas
79810030,MS,Dourados,67,Rua Bela Vista
71881778,DF,Brasília,61,Quadra QN 22 Conjunto 3
31050690,MG,Belo Horizonte,31,Rua Mangaratiba
29113140,ES,Vila Velha,27,Rua Água Limpa
6515085.0,NE,NE,NE,NE
2861180.0,NE,NE,NE,NE
6515085.0,NE,NE,NE,NE
66093050,PA,Belém,91,Travessa Barão do Triunfo
64041300,PI,Teresina,86,Rua Feliz
64033720,PI,Teresina,86,Avenida Dois
22641190,RJ,Rio de Janeiro,21,Estrada de Itajuru
37540000,MG,Santa Rita do Sapucaí,35,NE
37540000,MG,Santa Rita do Sapucaí,35,NE
74483150,GO,Goiânia,62,Rua Campos Sales
35670000,MG,Mateus Leme,31,NE
45826430,BA,Eunápolis,73,Caminho 42
6624330.0,NE,NE,NE,NE
35670000,MG,Mateus Leme,31,NE
6624330.0,NE,NE,NE,NE
71687246.0,NE,NE,NE,NE
71687246.0,NE,NE,NE,NE
45990666,BA,Teixeira de Freitas,73,Rua Pantanal
41227300,BA,Salvador,71,Travessa Dom Avelar
94435530,RS,Viamão,51,Rua Nova Padua
72880437,GO,Cidade Ocidental,61,Quadra SQ 11 Quadra 10
2844060.0,NE,NE,NE,NE
72880437,GO,Cidade Ocidental,61,Quadra SQ 11 Quadra 10
36038990.0,NE,NE,NE,NE
95211322,RS,Vacaria,54,Rua Carlos Maximo Golin Paim
18076219,SP,Sorocaba,15,Rua João Marcolino
7400770.0,NE,NE,NE,NE
11600500,SP,São Sebastião,12,Rua Tanabi
75696468,GO,Caldas Novas,64,Avenida E
0.0,NE,NE,NE,NE
0.0,NE,NE,NE,NE
68740000.0,NE,NE,NE,NE
32320110.0,NE,NE,NE,NE
69020020,AM,Manaus,92,Avenida Igarapé de Manaus
69020020,AM,Manaus,92,Avenida Igarapé de Manaus
29103900,ES,Vila Velha,27,Rodovia do Sol 5000
29103900,ES,Vila Velha,27,Rodovia do Sol 5000
29103900,ES,Vila Velha,27,Rodovia do Sol 5000
29103900,ES,Vila Velha,27,Rodovia do Sol 5000
41705740.0,NE,NE,NE,NE
65110000,MA,São José de Ribamar,98,NE
36760000,MG,Laranjal,32,NE
36760000,MG,Laranjal,32,NE
36760000,MG,Laranjal,32,NE
26310000,RJ,Queimados,21,Estrada do Lazareto
45807000,BA,Santa Cruz Cabrália,73,NE
14055125,SP,Ribeirão Preto,16,Avenida Rio Pardo
14055125,SP,Ribeirão Preto,16,Avenida Rio Pardo
71725405,DF,Brasília,61,Quadra QR 4 Conjunto E
65975000,MA,Estreito,99,NE
7083290.0,NE,NE,NE,NE
7083290.0,NE,NE,NE,NE
60361280,CE,Fortaleza,85,Rua 3
33110580,MG,Santa Luzia,31,Avenida Brasília
33110580,MG,Santa Luzia,31,Avenida Brasília
68928075,AP,Santana,96,Avenida São João Apóstolo
7840260.0,NE,NE,NE,NE
81260260,PR,Curitiba,41,Rua Marcos Antônio Malucelli
78850000,MT,Primavera do Leste,,NE
14085550,SP,Ribeirão Preto,16,Rua João Clapp
14085550,SP,Ribeirão Preto,16,Rua João Clapp
14085550,SP,Ribeirão Preto,16,Rua João Clapp
88304445,SC,Itajaí,47,Rua Valdir Severino
81020630,PR,Curitiba,41,Rua Infante Dom Henrique
